category,item,size,price
الفول,فول,,8
الفول,فول زيت حار,,9
الفول,فول زيت زيتون,,9
الفول,فول صلصة,,9
الفول,فول اسكندراني,,12
الفول,فول بالقشطة,,11
الفول,فول بيض مسلوق,,17
الفول,فول بيض مقلي,,17
الفول,فول ليمون معصفر,,10
الفول,فول سلطة وطحينة,,10
الفول,فول بالزبدة,,10
الفول,ميكس فول وفلافل,,12
الفول,فول ديناميت,,20
الفلافل,فلافل,,9
الفلافل,فلافل محشية,,11
الفلافل,فلافل تحابيش,,15
الفلافل,فلافل بيض مسلوق,,19
الفلافل,فلافل باذنجان,,13
الفلافل,فلافل كيري,,22
الفلافل,فلافل بسطرمة,,20
الفلافل,فلافل ميكس جبن,,20
الفلافل,فلافل ليمون معصفر,,11
الفلافل,فلافل طرشات طماطم,,10
الفلافل,فلافل بطاطس فارم,,17
الفلافل,فلافل رانش,,15
الفلافل,فلافل باربكيو,,15
سندوتشات الرول,فلاتينو رول (بيض وبطاطس وسجق),,40
سندوتشات الرول,فلافل رول,,22
سندوتشات الرول,بطاطس كاتشب رول,,30
سندوتشات الرول,بطاطس كاتشب ومايونيز رول,,32
سندوتشات الرول,جبنة مقلية رول,,39
سندوتشات الرول,فلافل تحابيش رول,,28
سندوتشات الرول,فلافل كيري رول,,35
سندوتشات الرول,فلافل بسطرمة رول,,35
سندوتشات الرول,فلافل ميكس جبن رول,,35
سندوتشات الرول,بطاطس سجق رول,,35
سندوتشات الرول,بطاطس شيدر رول,,40
سندوتشات الرول,بطاطس باربكيو رول,,30
سندوتشات الرول,بطاطس باربكيو رانش رول,,32
المنوعة,مسقعة,,13
المنوعة,جبنة مقلية,,23
المنوعة,جبنة طماطم,,13
المنوعة,توستر ميكس جبن,,23
المنوعة,توستر جبنة رومي,,25
المنوعة,باذنجان مقلي,,13
البيض,بيض مسلوق,,16
البيض,بيض مقلي,,17
البيض,بيض ميكس تشيز,,23
البيض,بيض بسطرمة,,23
البيض,بيض ميكس تشيز,,23
البيض,بيض رومي,,20
البيض,بيض بيتزا,,30
الحلو,حلاوة,,14
الحلو,مربى,,14
الحلو,نوتيلا,,15
الحلو,نوتيلا قشطة,,20
الحلو,حلاوة قشطة,,17
الحلو,مربى قشطة,,17
الحلو,ميكس حلو (حلاوة وقشطة ونوتيلا),,25
البطاطس,بطاطس محمرة,,15
البطاطس,بطاطس كاتشب,,17
البطاطس,بطاطس كاتشب ومايونيز,,18
البطاطس,بطاطس مايونيز ,,17
البطاطس,بيوريه,,10
البطاطس,بطاطس وطحينة,,17
البطاطس,بطاطس سلطة وطحينة,,18
البطاطس,بطاطس رومي,,22
البطاطس,بيوريه بيض مسلوق,,19
البطاطس,بيوريه بيض مقلي,,19
البطاطس,بطاطس جبنة مقلية,,32
البطاطس,بطاطس رانش,,18
البطاطس,بطاطس باربكيو,,18
البطاطس,بطاطس ميكس جبن,,25
البطاطس,بوريه ميكس جبن,,25
البطاطس,بطاطس ميكس جبن بسطرمة,,30
البطاطس,شيبسي,,10
البطاطس,شيبسي كاتشب,,13
البطاطس,شيبسي كاتشب مايونيز,,14
البطاطس,بطاطس سجق,,25
البطاطس,بطاطس شيدر,,25
العلب,فول,صغير,12
العلب,فول,وسط,17
العلب,فول,كبير,25
العلب,عجينة طعمية,وسط,15
العلب,عجينة طعمية,كبير,23
العلب,فول حار,صغير,14
العلب,فول حار,وسط,19
العلب,فول حار,كبير,26
العلب,فول زيت زيتون,صغير,14
العلب,فول زيت زيتون,وسط,19
العلب,فول زيت زيتون,كبير,27
العلب,فول بالصلصة,صغير,14
العلب,فول بالصلصة,وسط,20
العلب,فول بالصلصة,كبير,27
العلب,فول اسكندراني,صغير,17
العلب,فول اسكندراني,وسط,23
العلب,فول اسكندراني,كبير,33
العلب,فول بالزبدة,صغير,15
العلب,فول بالزبدة,وسط,22
العلب,فول بالزبدة,كبير,30
العلب,فول قدرة,صغير,10
العلب,فول قدرة,وسط,15
العلب,فول قدرة,كبير,20
العلب,مسقعة,صغير,14
العلب,مسقعة,وسط,20
العلب,مسقعة,كبير,33
العلب,بوريه,صغير,15
العلب,بوريه,وسط,22
العلب,بوريه,كبير,30
العلب,بطاطس محمرة,وسط,20
العلب,بطاطس محمرة,كبير,35
العلب,قرص فلافل كبير,,5
العلب,قرص فلافل محشية,,7
العلب,قرص فلافل كيري,,18
العلب,فلافل 10 حبة,,20
العلب,بيضة مسلوقة,,10
العلب,باذنجان مقلي,,16
العلب,بيض اومليت سادة,,25
العلب,بيض بسطرمة,,43
العلب,بيض تشيدر,,45
العلب,مخلل,,5
العلب,طحينة,,7
العلب,عدد 1 رغيف عيش,,2
العلب,عدد 5 رغيف عيش,,10
العلب,بيض بيتزا,,45
العلب,علبة سلطة شرائح,,15
العلب,باكت بطاطس شيدر,,45
المشروبات,كانز,,25
المشروبات,بيبسي كولا,,13
المشروبات,مياه صغيرة,,8
المشروبات,مانجو,,25
المشروبات,فراولة,,20
المشروبات,جوافة,,20
إضافات السندوتشات,طحينة,,2
إضافات السندوتشات,حلاوة,,5
إضافات السندوتشات,ميكس جبن,,8
إضافات السندوتشات,زيت حار,,3
إضافات السندوتشات,حشو,,2
إضافات السندوتشات,فارم,,8
إضافات السندوتشات,بيض مقلي,,12
إضافات السندوتشات,كاتشب,,2
إضافات السندوتشات,عيش رول,,9
إضافات السندوتشات,مايونيز,,3
إضافات السندوتشات,طماطم,,2
إضافات السندوتشات,بيض مسلوق,,10
إضافات السندوتشات,باذنجان,,4
إضافات السندوتشات,قشطة,,5
إضافات السندوتشات,بسطرمة,,8
إضافات السندوتشات,رانش,,3
إضافات السندوتشات,شيدر,,8
إضافات السندوتشات,باربكيو,,2